task,arch,seed,num_points,step_start,step_end,score_last,score_mean_last,score_best,reference_mean,reference_std,reference_count,delta
dmc_cheetah_run,cnn_ae,0,1120,16001,1093968,832.1807674784213,841.9681702610551,896.3585935146548,840.78092240961,87.41151954602634,10,1.187247851445136
dmc_cheetah_run,cnn_mae,0,768,16001,761616,880.2449376827572,811.4637287855251,880.2449376827572,840.78092240961,87.41151954602634,10,-29.317193624084894
dmc_cheetah_run,vit_ae,0,1104,16001,1089872,879.8364556152374,822.4000305812825,889.5798467742279,840.78092240961,87.41151954602634,10,-18.380891828327435
dmc_cheetah_run,vit_mae,0,832,16001,824480,874.7815916244872,783.2639764309421,880.4816328047309,840.78092240961,87.41151954602634,10,-57.51694597866788
dmc_hopper_hop,cnn_ae,0,1104,16001,1090752,264.62576927413465,283.75709647371247,313.32700085127726,223.25087617025002,137.82915063463395,10,60.50622030346244
dmc_hopper_hop,cnn_mae,0,432,16001,430976,271.88897997140884,268.78131004145325,305.91458290815353,223.25087617025002,137.82915063463395,10,45.53043387120323
dmc_hopper_hop,vit_ae,0,512,16001,497904,266.01135970652103,272.66112122239554,320.07029020786285,223.25087617025002,137.82915063463395,10,49.41024505214551
dmc_hopper_hop,vit_mae,0,640,16001,634688,257.30311715602875,241.97091984114525,272.40187264513224,223.25087617025002,137.82915063463395,10,18.720043670895222
dmc_walker_walk,cnn_ae,0,1088,16001,1085888,973.4676413354464,967.8080693468416,994.0691834539175,958.86250633541,26.57018046640254,10,8.945563011431659
dmc_walker_walk,cnn_mae,0,768,16001,762000,966.617178552784,965.4393450541247,994.1125565171242,958.86250633541,26.57018046640254,10,6.5768387187147255
dmc_walker_walk,vit_ae,0,1104,16001,1095216,976.1529701277614,960.6693538401626,992.8803424090147,958.86250633541,26.57018046640254,10,1.806847504752568
dmc_walker_walk,vit_mae,0,832,16001,824848,932.7313651649747,955.6581916395947,992.5749282687902,958.86250633541,26.57018046640254,10,-3.204314695815242
