task,arch,seed,num_points,step_start,step_end,score_last,score_mean_last,score_best,reference_mean,reference_std,reference_count,delta
dmc_cheetah_run,cnn_ae,0,1120,16001,1093968,832.1807674784213,841.9681702610551,896.3585935146548,840.78092240961,87.41151954602634,10,1.187247851445136
dmc_cheetah_run,cnn_mae,0,192,16001,192192,530.6701108757406,482.7483062305636,604.0675103012472,840.78092240961,87.41151954602634,10,-358.03261617904633
dmc_cheetah_run,vit_ae,0,992,16001,974032,666.7022199766943,788.313436541502,889.5798467742279,840.78092240961,87.41151954602634,10,-52.46748586810793
dmc_cheetah_run,vit_mae,0,192,16001,192192,582.3215147289447,496.11729809750517,600.1406405507587,840.78092240961,87.41151954602634,10,-344.6636243121048
dmc_hopper_hop,cnn_ae,0,1104,16001,1090752,264.62576927413465,283.75709647371247,313.32700085127726,223.25087617025002,137.82915063463395,10,60.50622030346244
dmc_hopper_hop,cnn_mae,0,192,16001,192192,0.0,0.16958763438294455,4.13191506639123,223.25087617025002,137.82915063463395,10,-223.0812885358671
dmc_hopper_hop,vit_ae,0,512,16001,497904,266.01135970652103,272.66112122239554,320.07029020786285,223.25087617025002,137.82915063463395,10,49.41024505214551
dmc_hopper_hop,vit_mae,0,192,16001,192192,230.28497367096134,173.9095941416387,230.28497367096134,223.25087617025002,137.82915063463395,10,-49.34128202861132
dmc_walker_walk,cnn_ae,0,1088,16001,1085888,973.4676413354464,967.8080693468416,994.0691834539175,958.86250633541,26.57018046640254,10,8.945563011431659
dmc_walker_walk,cnn_mae,0,192,16001,192192,952.9079098030925,939.5409810550674,988.3307115137577,958.86250633541,26.57018046640254,10,-19.3215252803426
dmc_walker_walk,vit_ae,0,784,16001,768624,920.1779698180035,953.844226641719,992.4563239365816,958.86250633541,26.57018046640254,10,-5.018279693690943
dmc_walker_walk,vit_mae,0,192,16001,192192,957.7361068213359,882.3009289994499,966.8688465356827,958.86250633541,26.57018046640254,10,-76.56157733596012
